Component,Origin,Licence,Copyright,Reference
@babel/code-frame,npm,MIT,The Babel Team (https://babel.dev/team),npm:7.27.1
@babel/helper-validator-identifier,npm,MIT,The Babel Team (https://babel.dev/team),npm:7.27.1
@blocz/react-responsive,npm,MIT,Ayc0 (https://github.com/bloczjs/react-responsive#readme),npm:5.0.0
@dnd-kit/accessibility,npm,MIT,Claudéric Demers (https://github.com/clauderic/dnd-kit),npm:3.0.1
@dnd-kit/core,npm,MIT,Claudéric Demers (https://github.com/clauderic/dnd-kit),npm:6.0.6
@dnd-kit/modifiers,npm,MIT,Claudéric Demers (https://github.com/clauderic/dnd-kit),npm:6.0.1
@dnd-kit/sortable,npm,MIT,Claudéric Demers (https://github.com/clauderic/dnd-kit),npm:7.0.1
@dnd-kit/utilities,npm,MIT,Claudéric Demers (https://github.com/clauderic/dnd-kit),npm:3.2.1
@fastify/busboy,npm,MIT,Brian White (https://github.com/fastify/busboy),npm:2.1.1
@figma/code-connect,npm,MIT,Figma (https://github.com/figma/code-connect#readme),npm:1.3.3
@formatjs/ecma402-abstract,npm,MIT,Long Ho (https://github.com/formatjs/formatjs),npm:2.3.4
@formatjs/fast-memoize,npm,MIT,Long Ho (https://github.com/formatjs/formatjs#readme),npm:2.2.7
@formatjs/intl-datetimeformat,npm,MIT,Long Ho (https://github.com/formatjs/formatjs#readme),npm:6.18.0
@formatjs/intl-localematcher,npm,MIT,Long Ho (https://github.com/formatjs/formatjs#readme),npm:0.6.1
@isaacs/cliui,npm,ISC,Ben Coe (yargs/cliui),npm:8.0.2
@monaco-editor/loader,npm,MIT,Suren Atoyan (https://github.com/suren-atoyan/monaco-loader),npm:1.4.0
@monaco-editor/react,npm,MIT,Suren Atoyan (https://github.com/suren-atoyan/monaco-react#readme),npm:4.6.0
@mswjs/cookies,npm,MIT,Artem Zakharchenko (https://github.com/mswjs/cookies),npm:0.2.2
@mswjs/interceptors,npm,MIT,Artem Zakharchenko (https://github.com/mswjs/interceptors),npm:0.16.6
@nodelib/fs.scandir,npm,MIT,(https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir),npm:2.1.3
@nodelib/fs.stat,npm,MIT,(https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat),npm:2.0.3
@nodelib/fs.walk,npm,MIT,(https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk),npm:1.2.4
@open-draft/until,npm,MIT,Artem Zakharchenko (open-draft/until),npm:1.0.3
@popperjs/core,npm,MIT,Federico Zivolo (github:popperjs/popper-core),npm:2.11.8
@sqltools/formatter,npm,MIT,(https://github.com/mtxr/vscode-sqltools),npm:1.2.5
@testing-library/dom,npm,MIT,Kent C. Dodds (https://kentcdodds.com),npm:10.3.1
@testing-library/react,npm,MIT,Kent C. Dodds (https://kentcdodds.com),npm:16.3.0
@tippyjs/react,npm,MIT,atomiks (https://github.com/atomiks/tippyjs-react#readme),npm:4.2.6
@ts-morph/common,npm,MIT,David Sherret (https://github.com/dsherret/ts-morph),npm:0.24.0
@types/aria-query,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/aria-query),npm:5.0.1
@types/color-name,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped),npm:1.1.1
@types/cookie,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/cookie),npm:0.4.1
@types/debug,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/debug),npm:4.1.7
@types/estree,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree),npm:1.0.0
@types/estree-jsx,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree-jsx),npm:1.0.0
@types/extend,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped),npm:3.0.1
@types/hast,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/hast),npm:2.3.4
@types/hast,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/hast),npm:3.0.4
@types/history,npm,MIT,(https://www.github.com/DefinitelyTyped/DefinitelyTyped),npm:2.0.49
@types/js-levenshtein,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/js-levenshtein),npm:1.1.1
@types/mdast,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/mdast),npm:3.0.10
@types/mdast,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/mdast),npm:4.0.4
@types/ms,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped),npm:0.7.31
@types/node,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node),npm:24.12.2
@types/prismjs,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/prismjs),npm:1.26.6
@types/react,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react),npm:19.1.13
@types/react-dom,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react-dom),npm:18.2.23
@types/set-cookie-parser,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/set-cookie-parser),npm:2.4.1
@types/unist,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/unist),npm:2.0.6
@types/unist,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/unist),npm:3.0.3
@types/vimeo__player,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped),npm:2.10.0
@u-wave/react-vimeo,npm,MIT,Renée Kooi (https://github.com/u-wave/react-vimeo#readme),npm:0.9.10
@ungap/event-target,npm,ISC,Andrea Giammarchi (https://github.com/ungap/event-target#readme),npm:0.2.4
@ungap/structured-clone,npm,ISC,Andrea Giammarchi (https://github.com/ungap/structured-clone#readme),npm:1.3.0
@vimeo/player,npm,MIT,Vimeo (vimeo/player.js),npm:2.18.0
@wojtekmaj/date-utils,npm,MIT,Wojciech Maj (https://github.com/wojtekmaj/date-utils),npm:1.5.1
@xmldom/xmldom,npm,MIT,(https://github.com/xmldom/xmldom),npm:0.8.10
afterframe,npm,MIT,(https://github.com/andrewiggins/afterframe#readme),npm:1.0.2
agent-base,npm,MIT,Nathan Rajlich (http://n8.io/),npm:7.1.0
ansi-align,npm,ISC,nexdrew (https://github.com/nexdrew/ansi-align#readme),npm:3.0.1
ansi-escapes,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:4.3.2
ansi-regex,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:5.0.1
ansi-regex,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:6.0.1
ansi-styles,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:4.2.1
ansi-styles,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:5.2.0
ansi-styles,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:6.2.1
anymatch,npm,ISC,Elan Shanker (https://github.com/es128),npm:3.1.2
aria-query,npm,Apache-2.0,Jesse Beach (https://github.com/A11yance/aria-query#readme),npm:5.3.0
asynckit,npm,MIT,Alex Indigo (https://github.com/alexindigo/asynckit#readme),npm:0.4.0
bail,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.2
balanced-match,npm,MIT,Julian Gruber (http://juliangruber.com),npm:1.0.0
base64-js,npm,MIT,T. Jameson Little (https://github.com/beatgammit/base64-js),npm:1.5.1
binary-extensions,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:2.0.0
bl,npm,MIT,(https://github.com/rvagg/bl),npm:4.1.0
boxen,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:5.1.1
brace-expansion,npm,MIT,Julian Gruber (http://juliangruber.com),npm:2.0.3
braces,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert),npm:3.0.3
buffer,npm,MIT,Feross Aboukhadijeh (https://feross.org),npm:5.7.1
camelcase,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:6.3.0
case,npm,(MIT OR GPL-3.0-or-later),Nathan Bubna (http://www.esha.com/),npm:1.6.3
ccount,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.1
chalk,npm,MIT,(chalk/chalk),npm:4.1.1
chalk,npm,MIT,(chalk/chalk),npm:4.1.2
character-entities,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
character-entities-html4,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.1.0
character-entities-legacy,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.0
character-reference-invalid,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
chardet,npm,MIT,Dmitry Shirokov (https://github.com/runk/node-chardet),npm:0.7.0
chokidar,npm,MIT,Paul Miller (https://paulmillr.com),npm:3.5.3
classnames,npm,MIT,Jed Watson (https://github.com/JedWatson/classnames),npm:2.3.2
cli-boxes,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:2.2.1
cli-cursor,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:3.1.0
cli-spinners,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:2.6.1
cli-width,npm,ISC,Ilya Radchenko (https://github.com/knownasilya/cli-width),npm:3.0.0
cliui,npm,ISC,Ben Coe (yargs/cliui),npm:8.0.1
clone,npm,MIT,Paul Vorbach (http://paul.vorba.ch/),npm:1.0.4
clsx,npm,MIT,Luke Edwards (https://lukeed.com),npm:2.1.1
code-block-writer,npm,MIT,David Sherret (https://github.com/dsherret/code-block-writer#readme),npm:13.0.1
color-convert,npm,MIT,Heather Arthur (Qix-/color-convert),npm:2.0.1
color-name,npm,MIT,DY (https://github.com/colorjs/color-name),npm:1.1.4
combined-stream,npm,MIT,Felix Geisendörfer (http://debuggable.com/),npm:1.0.8
comma-separated-tokens,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.2
commander,npm,MIT,TJ Holowaychuk (https://github.com/tj/commander.js),npm:11.1.0
compare-versions,npm,MIT,Ole Michelsen (https://github.com/omichelsen/compare-versions#readme),npm:6.1.1
cookie,npm,MIT,Roman Shtylman (jshttp/cookie),npm:0.7.2
copy-to-clipboard,npm,MIT,sudodoki (https://github.com/sudodoki/copy-to-clipboard),npm:3.3.3
core-js,npm,MIT,Denis Pushkarev (http://zloirock.ru),npm:3.44.0
cross-spawn,npm,MIT,André Cruz (https://github.com/moxystudio/node-cross-spawn),npm:7.0.6
cssstyle,npm,MIT,Jon Sakas (https://jon.sakas.co/),npm:4.0.1
csstype,npm,MIT,Fredrik Nicol (https://github.com/frenic/csstype),npm:3.1.1
culori,npm,MIT,Dan Burzo (https://github.com/Evercoder/culori),npm:4.0.1
data-urls,npm,MIT,Domenic Denicola (https://domenic.me/),npm:5.0.0
date-fns,npm,MIT,Sasha Koss (https://github.com/date-fns/date-fns),npm:1.30.1
debug,npm,MIT,Josh Junon (https://github.com/debug-js/debug),npm:4.3.4
decimal.js,npm,MIT,Michael Mclaughlin (https://github.com/MikeMcl/decimal.js),npm:10.4.3
decode-named-character-reference,npm,MIT,Titus Wormer (https://wooorm.com),npm:1.0.1
defaults,npm,MIT,Elijah Insua (https://github.com/tmpvar/defaults),npm:1.0.3
delayed-stream,npm,MIT,Felix Geisendörfer (http://debuggable.com/),npm:1.0.0
dequal,npm,MIT,Luke Edwards (https://lukeed.com),npm:2.0.2
dequal,npm,MIT,Luke Edwards (https://lukeed.com),npm:2.0.3
detect-browser,npm,MIT,Damon Oehlman (https://github.com/DamonOehlman/detect-browser),npm:4.8.0
devlop,npm,MIT,Titus Wormer (https://wooorm.com),npm:1.1.0
dom-accessibility-api,npm,MIT,(https://github.com/eps1lon/dom-accessibility-api),npm:0.5.9
dompurify,npm,(MPL-2.0 OR Apache-2.0),Dr.-Ing. Mario Heiderich  Cure53 (https://cure53.de/),npm:3.1.6
dotenv,npm,BSD-2-Clause,(https://github.com/motdotla/dotenv),npm:16.4.5
eastasianwidth,npm,MIT,Masaki Komagata (https://github.com/komagata/eastasianwidth),npm:0.2.0
emoji-regex,npm,MIT,Mathias Bynens (https://mathiasbynens.be/),npm:8.0.0
emoji-regex,npm,MIT,Mathias Bynens (https://mathiasbynens.be/),npm:9.2.2
entities,npm,BSD-2-Clause,Felix Boehm (https://github.com/fb55/entities),npm:4.3.1
entities,npm,BSD-2-Clause,Felix Boehm (https://github.com/fb55/entities),npm:4.5.0
escalade,npm,MIT,Luke Edwards (https://lukeed.com),npm:3.1.1
escape-string-regexp,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:1.0.5
escape-string-regexp,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:5.0.0
estree-util-is-identifier-name,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.0
events,npm,MIT,Irakli Gozalishvili (http://jeditoolkit.com),npm:3.3.0
exenv,npm,BSD-3-Clause,Jed Watson (https://github.com/JedWatson/exenv),npm:1.2.2
extend,npm,MIT,Stefan Thomas (http://www.justmoon.net),npm:3.0.2
external-editor,npm,MIT,Kevin Gravier (https://mrkmg.com),npm:3.0.3
fake-indexeddb,npm,Apache-2.0,Jeremy Scheff (https://dumbmatter.com/),npm:6.0.1
fast-fuzzy,npm,ISC,Ethan Rutherford (https://github.com/EthanRutherford/fast-fuzzy#readme),npm:1.12.0
fast-glob,npm,MIT,Denis Malinochkin (https://mrmlnc.com),npm:3.3.2
fast-myers-diff,npm,MIT,Logan R. Kearsley (https://github.com/gliese1337/fast-myers-diff#readme),npm:3.0.1
fastq,npm,ISC,Matteo Collina (https://github.com/mcollina/fastq#readme),npm:1.13.0
figures,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:3.2.0
file-saver,npm,MIT,Eli Grey (https://github.com/eligrey/FileSaver.js#readme),npm:2.0.5
filesize,npm,BSD-3-Clause,Jason Mulligan (https://filesizejs.com),npm:7.0.0
fill-range,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert),npm:7.1.1
find-up,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:5.0.0
focus-trap,npm,MIT,David Clark (http://davidtheclark.com/),npm:7.8.0
focus-trap-react,npm,MIT,David Clark (http://davidtheclark.com/),npm:11.0.4
foreground-child,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/),npm:3.1.1
form-data,npm,MIT,Felix Geisendörfer (http://debuggable.com/),npm:4.0.0
get-caller-file,npm,ISC,Stefan Penner (https://github.com/stefanpenner/get-caller-file#readme),npm:2.0.5
get-user-locale,npm,MIT,Wojciech Maj (https://github.com/wojtekmaj/get-user-locale),npm:2.3.2
glob,npm,ISC,Isaac Z. Schlueter (https://blog.izs.me/),npm:10.3.10
glob-parent,npm,ISC,Gulp Team (https://gulpjs.com/),npm:5.1.2
graphemesplit,npm,MIT,Nao Yonashiro (github:orisano/graphemesplit),npm:2.4.4
graphql,npm,MIT,(https://github.com/graphql/graphql-js),npm:16.11.0
has-flag,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:4.0.0
hast-util-embedded,npm,MIT,Titus Wormer (https://wooorm.com),npm:1.0.6
hast-util-from-html,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.3
hast-util-from-parse5,npm,MIT,Titus Wormer (https://wooorm.com),npm:8.0.3
hast-util-has-property,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
hast-util-is-element,npm,MIT,Titus Wormer (https://wooorm.com),npm:1.1.0
hast-util-is-element,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.1.1
hast-util-parse-selector,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.1.1
hast-util-parse-selector,npm,MIT,Titus Wormer (https://wooorm.com),npm:4.0.0
hast-util-to-html,npm,MIT,Titus Wormer (https://wooorm.com),npm:9.0.5
hast-util-to-jsx-runtime,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.3.6
hast-util-to-mdast,npm,MIT,Seth Vincent (https://sethvincent.com),npm:8.1.0
hast-util-to-text,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.1.1
hast-util-whitespace,npm,MIT,Titus Wormer (https://wooorm.com),npm:1.0.4
hast-util-whitespace,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.0
hastscript,npm,MIT,Titus Wormer (https://wooorm.com),npm:7.2.0
hastscript,npm,MIT,Titus Wormer (https://wooorm.com),npm:8.0.0
hastscript,npm,MIT,Titus Wormer (https://wooorm.com),npm:9.0.1
headers-polyfill,npm,MIT,Artem Zakharchenko (https://github.com/mswjs/headers-polyfill),npm:3.0.10
highlight-words-core,npm,MIT,Brian Vaughn (github.com/bvaughn/highlight-words-core),npm:1.2.0
html-encoding-sniffer,npm,MIT,Domenic Denicola (https://domenic.me/),npm:4.0.0
html-url-attributes,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.1
html-void-elements,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.0
http-proxy-agent,npm,MIT,Nathan Rajlich (http://n8.io/),npm:7.0.2
https-proxy-agent,npm,MIT,Nathan Rajlich (http://n8.io/),npm:7.0.5
iconv-lite,npm,MIT,Alexander Shtuchkin (https://github.com/ashtuchkin/iconv-lite),npm:0.4.24
iconv-lite,npm,MIT,Alexander Shtuchkin (https://github.com/ashtuchkin/iconv-lite),npm:0.6.3
ieee754,npm,BSD-3-Clause,Feross Aboukhadijeh (https://feross.org),npm:1.2.1
inherits,npm,ISC,(https://github.com/isaacs/inherits),npm:2.0.4
inline-style-parser,npm,MIT,(https://github.com/remarkablemark/inline-style-parser),npm:0.2.7
inquirer,npm,MIT,Simon Boudrias (SBoudrias/Inquirer.js),npm:8.2.5
intersection-observer,npm,W3C-20150513,Philip Walton (http://philipwalton.com),npm:0.12.0
is-alphabetical,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
is-alphanumerical,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
is-binary-path,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:2.1.0
is-decimal,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
is-extglob,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert),npm:2.1.1
is-fullwidth-code-point,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:3.0.0
is-glob,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert),npm:4.0.3
is-hexadecimal,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
is-interactive,npm,MIT,Sindre Sorhus (sindresorhus.com),npm:1.0.0
is-node-process,npm,MIT,(https://www.npmjs.com/package/is-node-process),npm:1.0.1
is-number,npm,MIT,Jon Schlinkert (https://github.com/jonschlinkert),npm:7.0.0
is-plain-obj,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:4.0.0
is-potential-custom-element-name,npm,MIT,Mathias Bynens (https://mathiasbynens.be/),npm:1.0.1
is-unicode-supported,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:0.1.0
isexe,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/),npm:2.0.0
jackspeak,npm,BlueOak-1.0.0,Isaac Z. Schlueter (https://github.com/isaacs/jackspeak),npm:2.3.6
js-base64,npm,BSD-3-Clause,Dan Kogai (https://github.com/dankogai/js-base64),npm:3.7.7
js-cookie,npm,MIT,Klaus Hartl (https://github.com/js-cookie/js-cookie),npm:3.0.5
js-levenshtein,npm,MIT,Gustaf Andersson (gustf/js-levenshtein),npm:1.1.6
js-tokens,npm,MIT,Simon Lydell (lydell/js-tokens),npm:4.0.0
jsdom,npm,MIT,Elijah Insua (http://tmpvar.com),npm:24.1.3
jsonc-parser,npm,MIT,Microsoft Corporation (https://github.com/microsoft/node-jsonc-parser),npm:3.0.0
kleur,npm,MIT,Luke Edwards (lukeed.com),npm:3.0.3
locate-path,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:6.0.0
lodash,npm,MIT,John-David Dalton (https://lodash.com/),npm:4.17.21
lodash,npm,MIT,John-David Dalton (https://lodash.com/),npm:4.18.1
log-symbols,npm,MIT,Sindre Sorhus (https://sindresorhus.com),npm:4.1.0
longest-streak,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.0
loose-envify,npm,MIT,Andres Suarez (https://github.com/zertosh/loose-envify),npm:1.4.0
lru-cache,npm,ISC,Isaac Z. Schlueter (https://github.com/isaacs/node-lru-cache),npm:10.0.1
lz-string,npm,MIT,pieroxy (http://pieroxy.net/blog/pages/lz-string/index.html),npm:1.5.0
map-age-cleaner,npm,MIT,Sam Verschueren (github.com/SamVerschueren),npm:0.1.3
markdown-table,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.4
matchmedia-polyfill,npm,MIT,Scott Jehl (http://github.com/paulirish/matchMedia.js),npm:0.3.2
mdast-util-find-and-replace,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.0.2
mdast-util-from-markdown,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.3
mdast-util-gfm,npm,MIT,Titus Wormer (https://wooorm.com),npm:3.1.0
mdast-util-gfm-autolink-literal,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.1
mdast-util-gfm-footnote,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.1.0
mdast-util-gfm-strikethrough,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
mdast-util-gfm-table,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
mdast-util-gfm-task-list-item,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.0
mdast-util-mdx-expression,npm,MIT,Titus Wormer (https://wooorm.com),npm:2.0.1
