Component,Origin,License,Copyright
bundled:pypi:fonttools@4.65.0/Adobe AGL & AGLFN,https://pypi.org/project/fonttools/4.65.0/,BSD-3-Clause,NOASSERTION — no copyright notice identified in supplied files
bundled:pypi:fonttools@4.65.0/Noto Fonts,https://pypi.org/project/fonttools/4.65.0/,OFL-1.1,NOASSERTION — no copyright notice identified in supplied files
bundled:pypi:matplotlib@3.11.2/BaKoMa Fonts,https://pypi.org/project/matplotlib/3.11.2/,LicenseRef-BaKoMa,"Copyright (C) 1994, 1995, Basil K. Malyshev. All Rights Reserved."
bundled:pypi:matplotlib@3.11.2/FreeType,https://pypi.org/project/matplotlib/3.11.2/,FTL OR GPL-2.0-or-later,NOASSERTION — no copyright notice identified in supplied files
bundled:pypi:matplotlib@3.11.2/JSXTools resize observer,https://pypi.org/project/matplotlib/3.11.2/,CC0-1.0,NOASSERTION — no copyright notice identified in supplied files
bundled:pypi:matplotlib@3.11.2/Last Resort fonts,https://pypi.org/project/matplotlib/3.11.2/,OFL-1.1,NOASSERTION — no copyright notice identified in supplied files
bundled:pypi:matplotlib@3.11.2/SheenBidi,https://pypi.org/project/matplotlib/3.11.2/,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
bundled:pypi:matplotlib@3.11.2/Yorick Colormaps,https://pypi.org/project/matplotlib/3.11.2/,LicenseRef-Yorick-Colormaps,Copyright (c) 1996.  The Regents of the University of California.
bundled:pypi:matplotlib@3.11.2/matplotlib/mpl-data/fonts/ttf/LICENSE_DEJAVU,https://pypi.org/project/matplotlib/3.11.2/,LicenseRef-DejaVu-Bundle,"Copyright (c) 2003 by Bitstream, Inc. All Rights Reserved. Bitstream Vera is | Copyright (c) 2006 by Tavmjong Bah. All Rights Reserved."
bundled:pypi:numpy@2.5.3/GCC runtime library,https://pypi.org/project/numpy/2.5.3/,GPL-3.0-or-later WITH GCC-exception-3.1,"Copyright (C) 2002-2017 Free Software Foundation, Inc. | Copyright (C) 2009 Free Software Foundation, Inc. <https://fsf.org/> | Copyright (C) 2007 Free Software Foundation, Inc. <https://fsf.org/>"
bundled:pypi:numpy@2.5.3/libquadmath,https://pypi.org/project/numpy/2.5.3/,LGPL-2.1-or-later,"Copyright (C) 2010-2019 Free Software Foundation, Inc."
bundled:pypi:numpy@2.5.3/numpy/random/src/splitmix64/LICENSE.md,https://pypi.org/project/numpy/2.5.3/,CC0-1.0,NOASSERTION — no copyright notice identified in supplied files
bundled:pypi:pillow@12.3.0/AOM,https://pypi.org/project/pillow/12.3.0/,BSD-2-Clause AND LicenseRef-AOM-Patent,"Copyright (c) 2016, Alliance for Open Media. All rights reserved."
bundled:pypi:pillow@12.3.0/FREETYPE2,https://pypi.org/project/pillow/12.3.0/,FTL OR GPL-2.0-only,"Copyright 1996-2002, 2006 by David Turner, Robert Wilhelm, and Werner Lemberg | The FreeType  Project is copyright (C) 1996-2000  by David Turner, Robert Wilhelm, and Werner Lemberg.  All rights reserved except as | Copyright (C) 2001-2002 by Francesco Zappa Nardelli | Copyright 2000 Computing Research Labs, New Mexico State University | Copyright 2001-2002, 2011 Francesco Zappa Nardelli | Copyright (C) 2000 by Francesco Zappa Nardelli"
bundled:pypi:pillow@12.3.0/LIBJPEG,https://pypi.org/project/pillow/12.3.0/,LicenseRef-libjpeg-turbo-bundle,"This software is copyright (C) 1991-2020, Thomas G. Lane, Guido Vollbeding."
bundled:pypi:pillow@12.3.0/LIBLZMA,https://pypi.org/project/pillow/12.3.0/,LicenseRef-XZ-bundle,NOASSERTION — no copyright notice identified in supplied files
cargo:anyhow@1.0.104,https://crates.io/crates/anyhow/1.0.104,MIT OR Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:async-trait@0.1.92,https://crates.io/crates/async-trait/0.1.92,MIT OR Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:displaydoc@0.2.7,https://crates.io/crates/displaydoc/0.2.7,MIT OR Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:itoa@1.0.18,https://crates.io/crates/itoa/1.0.18,MIT OR Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:once_cell@1.21.4,https://crates.io/crates/once_cell/1.21.4,MIT OR Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:opentelemetry-appender-tracing@0.31.1,https://crates.io/crates/opentelemetry-appender-tracing/0.31.1,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:opentelemetry-http@0.31.0,https://crates.io/crates/opentelemetry-http/0.31.0,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:opentelemetry-otlp@0.31.1,https://crates.io/crates/opentelemetry-otlp/0.31.1,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
